sec,CH1,CH14,CH40,CH42,CH47,CH54
11390.4,-1.22009,13.884,2.81,11.583,1276,5
11390.4,-1.21918,13.884,2.81,11.583,1276,5
11390.4,-1.21979,13.8809,2.81,11.583,1276,5
11390.4,-1.21948,13.884,2.81,11.583,1276,5
11390.4,-1.21979,13.8809,2.81,11.583,1276,5
11390.4,-1.21979,13.8794,2.81,11.583,1276,5
11390.4,-1.22437,13.884,2.81,11.583,1276,5
11390.4,-1.22437,13.8824,2.81,11.583,1276,5
11390.4,-1.22467,13.8794,2.81,11.583,1276,5
11390.5,-1.22437,13.8855,2.81,11.583,1276,5
11390.5,-1.22498,13.8824,2.81,11.583,1276,5
11390.5,-1.22437,13.8809,2.81,11.583,1276,5
11390.5,-1.22467,13.884,2.81,11.583,1276,5
11390.5,-1.22681,13.8824,2.81,11.583,1276,5
11390.5,-1.22925,13.8809,2.81,11.583,1276,5
11390.5,-1.22955,13.8809,2.81,11.583,1276,5
11390.5,-1.22955,13.8809,2.81,11.583,1276,5
11390.5,-1.22925,13.8824,2.81,11.583,1276,5
11390.5,-1.22986,13.8824,2.81,11.583,1276,5
11390.5,-1.22864,13.884,2.81,11.583,1276,5
11390.5,-1.22955,13.8824,2.81,11.583,1276,5
11390.5,-1.22955,13.8779,2.81,11.583,1276,5
11390.5,-1.23352,13.8824,2.81,11.583,1276,5
11390.5,-1.23444,13.8916,2.81,11.583,1276,5
11390.5,-1.23444,13.8962,2.81,11.583,1276,5
11390.5,-1.23474,13.8962,2.81,11.583,1276,5
11390.5,-1.23474,13.8931,2.81,11.583,1276,5
11390.5,-1.23505,13.8962,2.81,11.583,1276,5
11390.5,-1.23535,13.8977,2.81,11.583,1276,5
11390.5,-1.23474,13.8962,2.81,11.583,1276,5
11390.5,-1.23413,13.8947,2.81,11.583,1276,5
11390.5,-1.23444,13.8916,2.81,11.583,1276,5
11390.5,-1.23474,13.8962,2.81,11.583,1276,5
11390.5,-1.23932,13.8962,2.81,11.583,1276,5
11390.5,-1.23901,13.8962,2.81,11.583,1276,5
11390.5,-1.23932,13.8931,2.81,11.583,1276,5
